Council,AveragePrice
City of Banyule,984473
City of Bayside,1711756
City of Boroondara,1827679
City of Brimbank,697639
City of Casey,685629
City of Darebin,931036
City of Frankston,695860
City of Glen Eira,1160517
City of Greater Dandenong,742682
City of Hobsons Bay,1034871
City of Hume,598248
City of Kingston,1022497
City of Knox,904581
City of Manningham,1271689
City of Maribyrnong,865268
City of Maroondah,934411
City of Melbourne,1053528
City of Melton,527272
City of Monash,1255222
City of Moonee Valley,1102801
City of Moreland,896053
City of Port Phillip,1252467
City of Stonnington,1685503
City of Whitehorse,1242794
City of Whittlesea,643305
City of Wyndham,570627
City of Yarra,1113844
Shire of Nillumbik,728214
Shire of Yarra Ranges,725149
Shire of Cardinia,553958
