Region,Council,Suburb,AvgPrice,AvgLandSize,AvgBuildingArea,AvgRooms,AvgBathroom,AvgCar,AvgYear
Northern Metropolitan,City of Yarra,Abbotsford,1126410,227,108,2,1,1,1945
Western Metropolitan,City of Moonee Valley,Airport West,766808,424,141,3,2,2,1984
Southern Metropolitan,City of Port Phillip,Albert Park,1950985,153,129,3,2,1,1907
Northern Metropolitan,City of Darebin,Alphington,1446500,417,153,3,2,2,1954
Western Metropolitan,City of Hobsons Bay,Altona,822312,403,119,3,2,2,1981
Western Metropolitan,City of Hobsons Bay,Altona North,770424,453,154,3,1,3,1973
Southern Metropolitan,City of Stonnington,Armadale,1735714,474,130,3,2,1,1943
Western Metropolitan,City of Moonee Valley,Ascot Vale,1125455,455,149,3,2,1,1937
Southern Metropolitan,City of Boroondara,Ashburton,1857119,632,211,4,2,2,1968
Southern Metropolitan,City of Monash,Ashwood,1191118,545,161,3,2,2,1971
Western Metropolitan,City of Moonee Valley,Avondale Heights,826897,537,149,3,2,2,1978
Southern Metropolitan,City of Port Phillip,Balaclava,860781,276,90,2,1,1,1945
Southern Metropolitan,City of Boroondara,Balwyn,2004812,577,214,3,2,2,1973
Southern Metropolitan,City of Boroondara,Balwyn North,1965493,680,221,4,2,2,1973
Southern Metropolitan,City of Glen Eira,Bentleigh,1375095,492,189,3,2,2,1971
Southern Metropolitan,City of Glen Eira,Bentleigh East,1122883,476,157,3,2,2,1974
Eastern Metropolitan,City of Whitehorse,Box Hill,1495067,538,155,3,2,2,1945
Western Metropolitan,City of Maribyrnong,Braybrook,673716,444,125,3,1,1,1976
Southern Metropolitan,City of Bayside,Brighton,2118947,469,198,3,2,2,1959
Southern Metropolitan,City of Bayside,Brighton East,1690719,570,194,4,2,2,1961
Northern Metropolitan,City of Moreland,Brunswick,1079668,342,130,3,1,1,1940
Northern Metropolitan,City of Moreland,Brunswick West,849051,401,116,3,1,1,1954
Eastern Metropolitan,City of Manningham,Bulleen,1150754,579,199,4,2,2,1974
Southern Metropolitan,City of Monash,Burwood,1307522,554,165,4,2,2,1973
Southern Metropolitan,City of Boroondara,Camberwell,1853113,589,212,3,2,2,1953
Southern Metropolitan,City of Boroondara,Canterbury,2467463,891,227,4,2,2,1953
Northern Metropolitan,City of Melbourne,Carlton North,1755882,250,133,3,1,1,1928
Southern Metropolitan,City of Glen Eira,Carnegie,941434,338,120,3,1,1,1969
Southern Metropolitan,City of Glen Eira,Caulfield,513375,326,108,3,1,1,1963
Southern Metropolitan,City of Glen Eira,Caulfield North,918167,462,110,2,1,1,1970
Southern Metropolitan,City of Glen Eira,Caulfield South,1318848,399,151,3,2,2,1960
Southern Metropolitan,City of Monash,Chadstone,942481,389,126,3,2,2,1989
Northern Metropolitan,City of Yarra,Clifton Hill,1231241,241,116,3,1,1,1932
Northern Metropolitan,City of Darebin,Coburg,924609,382,132,3,1,2,1950
Northern Metropolitan,City of Darebin,Coburg North,811632,448,121,3,1,2,1969
Northern Metropolitan,City of Yarra,Collingwood,908405,649,95,2,1,1,1938
Eastern Metropolitan,City of Manningham,Doncaster,1325555,598,183,4,2,2,1980
Eastern Metropolitan,City of Banyule,Eaglemont,1615222,665,217,3,2,2,1955
Southern Metropolitan,City of Glen Eira,Elsternwick,1424729,440,175,3,2,2,1942
Southern Metropolitan,City of Port Phillip,Elwood,991178,327,95,2,1,1,1955
Western Metropolitan,City of Moonee Valley,Essendon,1185777,416,163,3,2,2,1962
Western Metropolitan,City of Moonee Valley,Essendon North,798214,253,115,3,2,1,1966
Northern Metropolitan,City of Darebin,Fairfield,1121133,338,118,3,1,1,1957
Northern Metropolitan,City of Yarra,Fitzroy,1240214,760,114,2,1,1,1951
Northern Metropolitan,City of Moreland,Fitzroy North,1361552,263,123,3,2,1,1922
Northern Metropolitan,City of Melbourne,Flemington,860829,213,99,2,1,1,1932
Western Metropolitan,City of Maribyrnong,Footscray,732624,298,101,3,1,1,1952
Southern Metropolitan,City of Boroondara,Glen Iris,1755778,575,179,3,2,2,1953
Northern Metropolitan,City of Moreland,Glenroy,680366,521,128,3,1,2,1974
Western Metropolitan,City of Moreland,Gowanbrae,714327,473,176,3,2,2,2006
Northern Metropolitan,City of Moreland,Hadfield,675135,497,129,3,2,2,1972
Southern Metropolitan,City of Bayside,Hampton,1801183,661,204,3,2,2,1968
Southern Metropolitan,City of Bayside,Hampton East,1117684,426,146,3,2,2,1974
Southern Metropolitan,City of Boroondara,Hawthorn,1489618,532,129,3,1,1,1948
Eastern Metropolitan,City of Banyule,Heidelberg Heights,759768,482,117,3,1,2,1967
Eastern Metropolitan,City of Banyule,Heidelberg West,645583,471,96,3,1,1,1961
Southern Metropolitan,City of Monash,Hughesdale,1111250,433,135,3,2,2,1950
Eastern Metropolitan,City of Banyule,Ivanhoe,1380558,513,177,3,2,2,1968
Western Metropolitan,City of Brimbank,Kealba,621267,573,167,4,2,2,1984
Western Metropolitan,City of Brimbank,Keilor East,853034,560,169,3,2,2,1984
Northern Metropolitan,City of Melbourne,Kensington,846049,381,103,2,1,1,1968
Southern Metropolitan,City of Boroondara,Kew,1960593,518,198,3,2,2,1947
Southern Metropolitan,City of Boroondara,Kew East,1795643,641,201,4,2,2,1953
Western Metropolitan,City of Maribyrnong,Maidstone,674000,725,121,3,1,2,1982
Southern Metropolitan,City of Stonnington,Malvern,2272595,389,187,3,2,2,1946
Southern Metropolitan,City of Stonnington,Malvern East,1677045,433,168,3,2,2,1953
Western Metropolitan,City of Maribyrnong,Maribyrnong,912584,1280,153,3,2,2,1981
Northern Metropolitan,City of Melbourne,Melbourne,586387,252,76,2,1,1,1987
Southern Metropolitan,City of Port Phillip,Middle Park,2665115,246,159,3,2,1,1906
Eastern Metropolitan,City of Boroondara,Mont Albert,1814529,634,177,3,2,2,1955
Western Metropolitan,City of Moonee Valley,Moonee Ponds,1148020,365,147,3,2,1,1948
Southern Metropolitan,City of Kingston,Moorabbin,981551,517,137,3,2,2,1971
Western Metropolitan,City of Hobsons Bay,Newport,1026908,401,140,3,2,2,1958
Western Metropolitan,City of Moonee Valley,Niddrie,1012381,462,178,3,2,2,1983
Northern Metropolitan,City of Melbourne,North Melbourne,872915,247,89,2,1,1,1970
Northern Metropolitan,City of Darebin,Northcote,1310561,318,125,3,1,1,1939
Northern Metropolitan,City of Moreland,Oak Park,797346,447,145,3,1,2,1982
South-Eastern Metropolitan,City of Kingston,Oakleigh South,1017605,547,158,3,2,2,1973
Northern Metropolitan,City of Melbourne,Parkville,1802545,803,141,3,2,1,1927
Northern Metropolitan,City of Moreland,Pascoe Vale,762090,394,133,3,1,2,1977
Southern Metropolitan,City of Melbourne,Port Melbourne,1329672,633,119,3,2,1,1962
Southern Metropolitan,City of Stonnington,Prahran,1196561,457,108,2,1,1,1937
Northern Metropolitan,City of Darebin,Preston,911896,457,132,3,1,2,1954
Northern Metropolitan,City of Darebin,Reservoir,662421,429,121,3,1,2,1974
Northern Metropolitan,City of Yarra,Richmond,1091469,633,101,2,1,1,1955
