Council,  AvgPrice  
City of Melton,527271.96
Shire of Cardinia,553958.33
City of Wyndham,570626.98
City of Hume,598248.05
City of Whittlesea,643304.75
City of Casey,685628.8
City of Frankston,695860.18
City of Brimbank,697639.06
Shire of Yarra Ranges,725149.1
Shire of Nillumbik,728214.29
City of Greater Dandenong,742682.35
City of Maribyrnong,865268.25
City of Moreland,896052.72
City of Knox,904581.33
City of Darebin,931036.17
City of Maroondah,934411.22
City of Banyule,984472.76
City of Kingston,1022497.12
City of Hobsons Bay,1034870.93
City of Melbourne,1053527.7
City of Moonee Valley,1102801.26
City of Yarra,1113844.46
City of Glen Eira,1160517.03
City of Whitehorse,1242794.35
City of Port Phillip,1252467.33
City of Monash,1255221.74
City of Manningham,1271688.64
City of Stonnington,1685503.42
City of Bayside,1711756.04
City of Boroondara,1827678.69
