Month,Region,Total
January,Eastern Metropolitan,17
January,Eastern Victoria,1
January,Northern Metropolitan,43
January,Northern Victoria,5
January,South-Eastern Metropolitan,15
January,Southern Metropolitan,15
January,Western Metropolitan,36
January,Western Victoria,0
February,Eastern Metropolitan,81
February,Eastern Victoria,5
February,Northern Metropolitan,183
February,Northern Victoria,7
February,South-Eastern Metropolitan,30
February,Southern Metropolitan,202
February,Western Metropolitan,161
February,Western Victoria,6
March,Eastern Metropolitan,72
March,Eastern Victoria,4
March,Northern Metropolitan,238
March,Northern Victoria,8
March,South-Eastern Metropolitan,34
March,Southern Metropolitan,203
March,Western Metropolitan,191
March,Western Victoria,2
April,Eastern Metropolitan,34
Aprl,Eastern Victoria,0
April,Northern Metropolitan,159
April,Northern Victoria,0
April,South-Eastern Metropolitan,2
April,Southern Metropolitan,160
April,Western Metropolitan,136
April,Western Victoria,0
May,Eastern Metropolitan,90
May,Eastern Victoria,2
May,Northern Metropolitan,309
May,Northern Victoria,1
May,South-Eastern Metropolitan,17
May,Southern Metropolitan,350
May,Western Metropolitan,213
May,Western Victoria,2
June,Eastern Metropolitan,97
June,Eastern Victoria,8
June,Northern Metropolitan,251
June,Northern Victoria,1
June,South-Eastern Metropolitan,44
June,Southern Metropolitan,305
June,Western Metropolitan,170
June,Western Victoria,3
July,Eastern Metropolitan,133
July,Eastern Victoria,13
July,Northern Metropolitan,283
July,Northern Victoria,8
July,South-Eastern Metropolitan,75
July,Southern Metropolitan,222
July,Western Metropolitan,248
July,Western Victoria,9
August,Eastern Metropolitan,94
August,Eastern Victoria,3
August,Northern Metropolitan,212
August,Northern Victoria,4
August,South-Eastern Metropolitan,30
August,Southern Metropolitan,264
August,Western Metropolitan,168
August,Western Victoria,3
September,Eastern Metropolitan,105
September,Eastern Victoria,2
September,Northern Metropolitan,268
September,Northern Victoria,5
September,South-Eastern Metropolitan,38
September,Southern Metropolitan,296
September,Western Metropolitan,211
September,Western Victoria,3
October,Eastern Metropolitan,105
October,Eastern Victoria,6
October,Northern Metropolitan,271
October,Northern Victoria,3
October,South-Eastern Metropolitan,50
October,Southern Metropolitan,224
October,Western Metropolitan,207
October,Western Victoria,5
November,Eastern Metropolitan,110
November,Eastern Victoria,3
November,Northern Metropolitan,271
November,Northern Victoria,4
November,South-Eastern Metropolitan,24
November,Southern Metropolitan,291
November,Western Metropolitan,199
November,Western Victoria,8
December,Eastern Metropolitan,44
December,Eastern Victoria,4
December,Northern Metropolitan,124
December,Northern Victoria,1
December,South-Eastern Metropolitan,12
December,Southern Metropolitan,175
December,Western Metropolitan,119
December,Western Victoria,1
