Region,Month,Total
Eastern Metropolitan,Jan,17
Eastern Metropolitan,Feb,81
Eastern Metropolitan,Mar,72
Eastern Metropolitan,Apr,34
Eastern Metropolitan,May,90
Eastern Metropolitan,Jun,97
Eastern Metropolitan,Jul,133
Eastern Metropolitan,Aug,94
Eastern Metropolitan,Sep,105
Eastern Metropolitan,Oct,105
Eastern Metropolitan,Nov,110
Eastern Metropolitan,Dec,44
Eastern Victoria,Jan,1
Eastern Victoria,Feb,5
Eastern Victoria,Mar,4
Eastern Victoria,Apr,0
Eastern Victoria,May,2
Eastern Victoria,Jun,8
Eastern Victoria,Jul,13
Eastern Victoria,Aug,3
Eastern Victoria,Sep,2
Eastern Victoria,Oct,6
Eastern Victoria,Nov,3
Eastern Victoria,Dec,4
Northern Metropolitan,Jan,43
Northern Metropolitan,Feb,183
Northern Metropolitan,Mar,238
Northern Metropolitan,Apr,159
Northern Metropolitan,May,309
Northern Metropolitan,Jun,251
Northern Metropolitan,Jul,283
Northern Metropolitan,Aug,212
Northern Metropolitan,Sep,268
Northern Metropolitan,Oct,271
Northern Metropolitan,Nov,271
Northern Metropolitan,Dec,124
Northern Victoria,Jan,5
Northern Victoria,Feb,7
Northern Victoria,Mar,8
Northern Victoria,Apr,0
Northern Victoria,May,1
Northern Victoria,Jun,1
Northern Victoria,Jul,8
Northern Victoria,Aug,4
Northern Victoria,Sep,5
Northern Victoria,Oct,3
Northern Victoria,Nov,4
Northern Victoria,Dec,1
South-Eastern Metropolitan,Jan,15
South-Eastern Metropolitan,Feb,30
South-Eastern Metropolitan,Mar,34
South-Eastern Metropolitan,Apr,2
South-Eastern Metropolitan,May,17
South-Eastern Metropolitan,Jun,44
South-Eastern Metropolitan,Jul,75
South-Eastern Metropolitan,Aug,30
South-Eastern Metropolitan,Sep,38
South-Eastern Metropolitan,Oct,50
South-Eastern Metropolitan,Nov,24
South-Eastern Metropolitan,Dec,12
Southern Metropolitan,Jan,15
Southern Metropolitan,Feb,202
Southern Metropolitan,Mar,203
Southern Metropolitan,Apr,160
Southern Metropolitan,May,350
Southern Metropolitan,Jun,305
Southern Metropolitan,Jul,222
Southern Metropolitan,Aug,264
Southern Metropolitan,Sep,296
Southern Metropolitan,Oct,224
Southern Metropolitan,Nov,291
Southern Metropolitan,Dec,175
Western Metropolitan,Jan,36
Western Metropolitan,Feb,161
Western Metropolitan,Mar,191
Western Metropolitan,Apr,136
Western Metropolitan,May,213
Western Metropolitan,Jun,170
Western Metropolitan,Jul,248
Western Metropolitan,Aug,168
Western Metropolitan,Sep,211
Western Metropolitan,Oct,207
Western Metropolitan,Nov,199
Western Metropolitan,Dec,119
Western Victoria,Jan,0
Western Victoria,Feb,6
Western Victoria,Mar,2
Western Victoria,Apr,0
Western Victoria,May,2
Western Victoria,Jun,3
Western Victoria,Jul,9
Western Victoria,Aug,3
Western Victoria,Sep,3
Western Victoria,Oct,5
Western Victoria,Nov,8
Western Victoria,Dec,1
