Suburb,Region,AveragePrice,AverageLandSize,AverageBuildingArea,AverageRooms,AverageBathroom,AverageCar,AverageYearBuilt
Abbotsford,Northern Metropolitan,1126410.256,227.1282051,108.4615385,2.487179487,1.41025641,0.948717949,1945.410256
Airport West,Western Metropolitan,766807.7115,424.3846154,141.1801923,3.096153846,1.634615385,1.884615385,1984.442308
Albert Park,Southern Metropolitan,1950985.294,152.9411765,128.5735294,2.794117647,1.588235294,0.705882353,1906.764706
Alphington,Northern Metropolitan,1446500,416.8333333,153.1111111,3.277777778,1.666666667,1.944444444,1953.944444
Altona,Western Metropolitan,822311.7647,402.8823529,119.0294118,2.911764706,1.588235294,1.882352941,1981.088235
Altona North,Western Metropolitan,770424.2424,453.2727273,154.1515152,3.090909091,1.363636364,2.575757576,1973.030303
Armadale,Southern Metropolitan,1735714.286,473.5918367,129.9026531,2.734693878,1.591836735,1.448979592,1943.22449
Ascot Vale,Western Metropolitan,1125455.056,455.0786517,148.988764,3.04494382,1.640449438,1.483146067,1937.123596
Ashburton,Southern Metropolitan,1857119.048,632.3809524,210.8809524,3.642857143,2.19047619,2.333333333,1967.666667
Ashwood,Southern Metropolitan,1191117.647,544.8529412,161.3823529,3.117647059,1.705882353,1.941176471,1971.235294
Avondale Heights,Western Metropolitan,826897.4359,536.974359,148.5641026,3.282051282,1.666666667,1.538461538,1977.538462
Balaclava,Southern Metropolitan,860781.25,276.4375,89.5625,2.375,1.1875,1.125,1945.3125
Balwyn,Southern Metropolitan,2004811.594,577.4057971,214.0834783,3.434782609,2.115942029,1.797101449,1972.942029
Balwyn North,Southern Metropolitan,1965493,680.09,221.27,3.91,2.26,2.17,1972.73
Bentleigh,Southern Metropolitan,1375094.937,492.0759494,188.8860759,3.35443038,1.911392405,1.962025316,1971
Bentleigh East,Southern Metropolitan,1122883.246,476.1086957,157.3486232,3.289855072,1.739130435,1.934782609,1974.15942
Box Hill,Eastern Metropolitan,1495067.294,538.2058824,155.3823529,3.264705882,1.676470588,1.676470588,1944.676471
Braybrook,Western Metropolitan,673716.129,443.5806452,124.9354839,2.967741935,1.419354839,1.419354839,1976.032258
Brighton,Southern Metropolitan,2118946.75,468.7708333,197.96875,3.291666667,1.979166667,1.875,1958.8125
Brighton East,Southern Metropolitan,1690718.605,570.2093023,194.2696512,3.5,2.011627907,2.034883721,1960.5
