City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
ADELAIDE,ALICE SPRINGS,36526,12223,124,75.9,1316,16085468,21184968,16098,2000,1
ADELAIDE,BRISBANE,36526,18598,163,86.4,1622,30165956,34907062,21521,2000,1
ADELAIDE,CANBERRA,36526,2904,57,62.1,972,2822688,4542156,4673,2000,1
ADELAIDE,DARWIN,36526,12253,131,74.9,2619,32090607,42841602,16358,2000,1
ADELAIDE,MELBOURNE,36526,102673,1081,72,643,66018739,91716234,142638,2000,1
ADELAIDE,PERTH,36526,34965,350,76,2120,74125800,97543320,46011,2000,1
ADELAIDE,PORT LINCOLN,36526,7796,498,60.7,246,1917816,3161100,12850,2000,1
ADELAIDE,SYDNEY,36526,95091,1029,71.8,1167,110971197,154504965,132395,2000,1
ALBURY,SYDNEY,36526,8708,401,62.5,452,3936016,6297264,13932,2000,1
ALICE SPRINGS,DARWIN,36526,9900,155,55.3,1305,12919500,23380380,17916,2000,1
ALICE SPRINGS,SYDNEY,36526,12245,124,76.1,2022,24759390,32533980,16090,2000,1
BALLINA,SYDNEY,36526,9571,218,76.7,612,5857452,7641432,12486,2000,1
BRISBANE,CAIRNS,36526,69911,706,67.6,1391,97246201,143939289,103479,2000,1
BRISBANE,CANBERRA,36526,17577,330,66.3,956,16803612,25338780,26505,2000,1
BRISBANE,DARWIN,36526,12603,124,80.2,2852,35943756,44816328,15714,2000,1
BRISBANE,HAMILTON ISLAND,36526,11848,186,73.6,888,10521024,14296800,16100,2000,1
BRISBANE,HOBART,36526,1128,22,77.4,1791,2020248,2609487,1457,2000,1
BRISBANE,MACKAY,36526,15765,323,59.6,797,12564705,21091808,26464,2000,1
BRISBANE,MELBOURNE,36526,146006,1392,80.3,1381,201634286,251253616,181936,2000,1
BRISBANE,NEWCASTLE,36526,2897,247,56.5,614,1778758,3149820,5130,2000,1
BRISBANE,PERTH,36526,7313,64,81.3,3615,26436495,32513310,8994,2000,1
BRISBANE,PROSERPINE,36526,7424,148,72.2,895,6644480,9198810,10278,2000,1
BRISBANE,ROCKHAMPTON,36526,17446,426,56.7,518,9037028,15941968,30776,2000,1
BRISBANE,SYDNEY,36526,254806,1995,74.9,753,191868918,256056897,340049,2000,1
BRISBANE,TOWNSVILLE,36526,37751,429,68.1,1112,41979112,61642608,55434,2000,1
BROOME,PERTH,36526,9716,202,67.4,1677,16293732,24190725,14425,2000,1
CAIRNS,MELBOURNE,36526,5557,47,81.3,2311,12842227,15788752,6832,2000,1
CAIRNS,SYDNEY,36526,51533,348,71.2,1971,101571543,142731936,72416,2000,1
CAIRNS,TOWNSVILLE,36526,8655,480,52.28659458,284,2458020,4701052,16553,2000,1
CANBERRA,MELBOURNE,36526,48066,693,75,470,22591020,30116190,64077,2000,1
CANBERRA,SYDNEY,36526,53923,1595,59.3,236,12725828,21463020,90945,2000,1
COFFS HARBOUR,SYDNEY,36526,14141,648,59.5,443,6264463,10534983,23781,2000,1
DARWIN,SYDNEY,36526,8137,89,73.3,3155,25672235,35007880,11096,2000,1
DEVONPORT,MELBOURNE,36526,13495,484,78.6,412,5559940,7076924,17177,2000,1
DUBBO,SYDNEY,36526,7439,381,56.5,310,2306090,4080530,13163,2000,1
GOLD COAST,SYDNEY,36526,130534,937,88.4,680,88763120,100388400,147630,2000,1
HOBART,MELBOURNE,36526,73827,618,84.4,618,45625086,54053370,87465,2000,1
HOBART,SYDNEY,36526,12421,122,82.4,1039,12905419,15670198,15082,2000,1
KALGOORLIE,PERTH,36526,11420,306,44.1,538,6143960,13919136,25872,2000,1
KARRATHA,PERTH,36526,11362,254,57.3,1250,14202500,24806250,19845,2000,1
LAUNCESTON,MELBOURNE,36526,45130,680,81.2,476,21481880,26471788,55613,2000,1
LAUNCESTON,SYDNEY,36526,9395,137,82.5,914,8587030,10414116,11394,2000,1
MELBOURNE,BURNIE,36526,9022,354,72.1,378,3410316,4727268,12506,2000,1
MELBOURNE,GOLD COAST,36526,64232,425,88.1,1330,85428560,97018180,72946,2000,1
MELBOURNE,MILDURA,36526,6672,338,56.4,457,3049104,5407681,11833,2000,1
MELBOURNE,NEWCASTLE,36526,2139,239,44,836,1788204,4062960,4860,2000,1
MELBOURNE,PERTH,36526,89291,645,81.7,2706,241621446,295795566,109311,2000,1
MELBOURNE,SYDNEY,36526,411403,2832,76.1,706,290450518,381448976,540296,2000,1
PERTH,PORT HEDLAND,36526,5164,105,66.46074646,1312,6775168,10194240,7770,2000,1
PERTH,SYDNEY,36526,97844,663,82.1,3284,321319696,391252476,119139,2000,1
SUNSHINE COAST,MELBOURNE,36526,3991,40,75.7,1454,5802914,7662580,5270,2000,1
SUNSHINE COAST,SYDNEY,36526,17948,170,84.9,837,15022476,17686647,21131,2000,1
SYDNEY,TOWNSVILLE,36526,818,9,72.6,1690,1382420,1904630,1127,2000,1
SYDNEY,WAGGA WAGGA,36526,7958,419,55,367,2920586,5309022,14466,2000,1
ADELAIDE,ALICE SPRINGS,36557,10825,118,70.9,1316,14245700,20101900,15275,2000,2
ADELAIDE,BRISBANE,36557,15216,153,77.8,1622,24680352,31703612,19546,2000,2
ADELAIDE,CANBERRA,36557,8196,157,57.6,972,7966512,13836420,14235,2000,2
ADELAIDE,DARWIN,36557,9547,126,64.7,2619,25003593,38651202,14758,2000,2
ADELAIDE,MELBOURNE,36557,103813,1078,73.8,643,66751759,90495177,140739,2000,2
ADELAIDE,PERTH,36557,31218,337,73,2120,66182160,90672400,42770,2000,2
ADELAIDE,PORT LINCOLN,36557,7851,472,64.5,246,1931346,2995296,12176,2000,2
ADELAIDE,SYDNEY,36557,88332,1003,70.5,1167,103083444,146129406,125218,2000,2
ALBURY,SYDNEY,36557,8785,398,63.6,452,3970820,6243024,13812,2000,2
ALICE SPRINGS,DARWIN,36557,10370,175,56.5,1305,13532850,23946750,18350,2000,2
ALICE SPRINGS,SYDNEY,36557,10461,117,69.8,2022,21152142,30303714,14987,2000,2
BALLINA,SYDNEY,36557,8402,208,72.2,612,5142024,7120620,11635,2000,2
BRISBANE,CAIRNS,36557,68801,636,73.2,1391,95702191,130781820,94020,2000,2
BRISBANE,CANBERRA,36557,17284,333,61.8,956,16523504,26756528,27988,2000,2
BRISBANE,DARWIN,36557,9779,114,71.3,2852,27889708,39137996,13723,2000,2
BRISBANE,HAMILTON ISLAND,36557,8161,165,55.1,888,7246968,13150392,14809,2000,2
BRISBANE,MACKAY,36557,14270,308,55.8,797,11373190,20376899,25567,2000,2
BRISBANE,MELBOURNE,36557,122611,1243,77,1381,169325791,219882820,159220,2000,2
